ReactionID	StochCoeff	Product	other site
R02147	1	C00620	
R05906	1	G00251	
R05906	1	G10621	
R06214	1	G10619	
R06214	1	G10488	
R09284	1	C18351	
R07185	1	C00011	
R07185	1	C00042	
R07185	1	C15500	
R02970	1	C00041	
R02970	1	C00830	
R12082	1	C00001	
R12082	2	C00011	
R12082	1	C00042	
R12082	1	C21893	
R10301	1	C06717	
R10301	1	C00080	
R10301	1	C00004	
R10301	1	C00058	
R00368	1	C00022	
R00368	1	C00080	
R00368	1	C00037	
R00368	1	C00004	
R06012	1	C00270	
R06012	1	G00123	
R02429	1	C00001	
R02429	1	C03826	
R04503	1	C00031	
R04503	1	C04542	
R11611	1	C00013	
R11611	1	C21501	
R10579	1	C20706	
R10579	1	C20568	
R11416	1	C00021	
R11416	1	C21347	
R00719	1	C00009	
R00719	1	C00104	
R02293	1	C00441	
R02293	1	C00041	
R05547	1	C00077	
R05547	1	C01121	
R08467	1	C00021	
R08467	1	C01575	
R10559	1	C12287	
R10559	1	C20695	
R09736	1	C00021	
R09736	1	C05819	
R04143	1	C00008	
R04143	1	C04188	
R12430	1	C01944	
R12430	1	C00229	
R02234	1	C00030	
R02234	1	C02395	
R04145	1	C00021	
R04145	1	C04061	
R10944	1	C00009	
R10944	1	C00008	
R10944	1	C20964	
R05808	1	C00021	
R05808	1	C17401	
R09311	1	C18835	
R09311	1	C00001	
R10590	1	C00010	
R10590	1	C21489	
R11327	1	C21282	
R11327	1	C00009	
R07651	2	C00133	
R12047	1	C21854	
R12047	1	C00015	
R08321	1	C07493	
R06944	1	C00013	
R06944	1	C00020	
R06944	1	C14143	
R07643	1	C07305	
R07643	1	C04138	
R05062	2	C00080	
R05062	1	C05985	
R05062	2	C00126	
R09112	1	C18221	
R04091	1	C00033	
R04091	1	C04446	
R09679	3	C00021	
R09679	1	C19807	
R07403	1	C00001	
R07403	1	C03161	
R07403	1	C12312	
R12210	1	C00011	
R12210	1	C00042	
R12210	1	C22003	
R04684	1	C05976	
R04684	1	C00066	
R05954	1	G00121	
R05954	1	G10621	
R07814	1	G13037	
R07814	1	C00059	
R11975	1	C00001	
R11975	1	C03161	
R11975	1	C21820	
R08903	1	C17589	
R08903	1	C00025	
R12036	1	C21869	
R12036	n	C00015	
R00729	1	C00027	
R00729	1	C01179	
R00729	1	C00014	
R02889	1	C00760	
R02889	1	C00015	
R04020	1	C00001	
R04020	1	C02938	
