Substrate;Product
C00025;C03618
C03618;C01732
C01732;C06028
C06028;C06027
C06027;C00048
C00048;C04348
C00024;C04348
C04348;C00149
C00149;C00036
C21325;C21326
C21326;C21327
C21327;C21328
C11907;C11926
C11926;C11912
C00134;C15699
C15699;C15700
C15700;C15767
C15767;C00334
C00148;C12470
C12470;C12483
C12483;C21567
C21567;C21568
C21568;C21569
C21569;C21570
C05223;C02679
C02679;C21573
C21573;C21574
C21570;C12023
C21574;C12023
C01953;C05138
C05138;C01227
C01227;C00280
C00280;C05290
C05290;C05297
C05297;C00468
C00141;C02504
C00024;C02504
C02504;C04411
C04411;C00233
C00024;C00332
C00332;C00356
C00024;C00356
C00356;C00418
C00418;C01107
C01107;C01143
C01143;C00129
C00129;C00235
C00082;C02515
C02515;C01060
C01060;C02465
C01060;C01829
C00074;C11536
C11536;C11537
C11537;C05528
C05528;C00593
C00593;C03576
C00100;C03240
C00683;C03240
C03240;C06635
C06635;C06630
C06630;C06633
C06633;C06616
C06616;C01912
C06633;C06653
C00748;C21835
C21835;C21284
C21284;C00032
C00037;C00430
C00430;C00931
C00931;C01024
C01024;C01051
C01051;C03263
C03263;C01079
C01079;C02191
C02191;C00032
C00078;C22142
C00079;C22142
C22142;C22143
C22143;C22144
C00512;C06322
C06322;C06749
C06749;C09821
C09821;C06714
C00049;C03082
C03082;C00441
C00441;C20258
C20258;C03972
C03972;C05539
C05539;C04390
C04390;C00666
C00666;C00680
C00680;C00047
C00251;C00254
C00254;C00826
C00826;C00082
C00082;C21308
C21308;C21309
C21309;C21311
C00416;C00269
C00269;C02737
C02737;C00350
C00167;C16155
C16155;C16153
C16153;C16154
C16154;C16156
C16156;C16157
C00129;C00235
C00235;C00341
C00129;C00341
C00341;C00448
C00129;C00448
C00448;C00353
C00129;C00353
C09822;C09823
C09823;C09811
C09811;C09812
C09812;C09813
C09813;C01063
C00353;C03427
C03427;C05421
C05421;C19765
C19765;C19764
C19764;C15857
C15857;C19759
C19759;C15858
C15858;C05432
C05432;C05435
C05435;C02094
C00083;C21343
C21343;C21344
C21344;C21345
C21345;C21346
C21346;C21347
C00062;C00077
C00077;C00134
C00320;C00059
C00078;C00643
C00643;C00780
C00780;C00978
C00978;C01598
C18295;C06629
C06629;C06628
C06628;C06627
C06629;C06627
C06627;C06654
C06654;C02811
C02811;C03206
C03206;C06570
C06570;C06571
C00083;C20856
C20856;C20857
C20857;C20841
C20841;C20842
C05345;C00275
C00275;C00636
C00636;C00096
C00096;C02280
C02280;C15926
C15926;C01825
C01825;C01115
C01115;C00072
C00043;C00645
C00645;C00270
C00270;C00128
C00024;C00332
C00332;C03561
C03561;C00877
C00877;C18026
C18026;C20238
C20238;C18324
C18324;C06028
C06028;C06027
C06027;C00100
C06027;C00048
C00048;C04348
C04348;C00149
C00100;C00683
C00683;C01213
C01213;C00091
C00026;C01251
C00024;C01251
C01251;C04002
C04002;C05662
C01251;C05662
C05662;C00322
C00322;C16583
C00024;C16583
C16583;C20581
C20581;C16597
C16583;C16597
C16597;C16588
C16588;C16598
C00024;C16598
C16598;C20582
C20582;C16600
C16598;C16600
C16600;C16589
C00110;C01246
C00074;C02798
C02798;C03167
C03167;C06451
C06451;C22216
C22216;C22217
C22217;C06452
C06452;C06454
C01272;C01243
C01243;C04063
C04063;C04006
C04006;C00137
C00251;C00254
C00254;C01179
C01179;C00082
C00047;C00449
C00449;C04076
C04076;C00956
C00956;C00322
C00322;C00527
C00527;C00877
C00877;C01144
C01144;C00332
C00078;C19687
C19687;C21110
C21110;C21109
C21109;C12491
C00101;C00143
C00143;C00445
C00445;C00234
C00234;C00101
C00173;C19845
C19845;C01092
C01092;C01037
C01037;C01909
C01909;C00120
C00130;C00655
C00655;C00144
C00144;C00035
C00035;C00044
C01438;C00132
C00132;C00067
C00029;C00167
C00167;C05385
C05385;C00191
C00167;C03033
C03033;C00191
C00191;C00800
C00800;C00618
C00618;C00312
C00312;C00379
C00379;C00310
C00310;C00231
C00079;C00423
C00423;C00811
C00082;C00811
C00811;C00223
C00223;C05608
C05608;C02646
C00223;C02947
C02947;C10434
C10434;C00323
C00323;C00406
