kegg_compound	bigg_id	universal_bigg_id
C00008	adp_x	adp
C00026	akg_x	akg
C00499	alltt_e	alltt
C03011	apep_c	apep
C05714	aprop_c	aprop
C00216	arab__D_c	arab__D
C00062	arg__L_m	arg__L
C02385	arg__L_m	arg__L
C00062	arg__L_v	arg__L
C02385	arg__L_v	arg__L
C00002	atp_g	atp
C00002	atp_n	atp
C00112	cdp_n	cdp
C00158	cit_m	cit
C04692	cmaphis_c	cmaphis
C00011	co2_m	co2
C00011	co2_v	co2
C00318	crn_x	crn
C00487	crn_x	crn
C02291	cyst__L_x	cyst__L
C00206	dadp_n	dadp
C01037	dann_e	dann
C00705	dcdp_n	dcdp
C00579	dhlam_m	dhlam
C00921	dhpt_m	dhpt
C00857	dnad_m	dnad
C00882	dpcoa_m	dpcoa
C04525	fecost_e	fecost
C00061	fmn_e	fmn
C00924	focytc_m	focytc
C01172	g6p_B_c	g6p_B
C01165	glu5sa_m	glu5sa
C00037	gly_m	gly
C00093	glyc3p_m	glyc3p
C00051	gthrd_m	gthrd
C00051	gthrd_v	gthrd
C00027	h2o2_n	h2o2
C00001	h2o_r	h2o
C01328	h2o_r	h2o
C00001	h2o_x	h2o
C01328	h2o_x	h2o
C00080	h_r	h
C00080	h_x	h
C00288	hco3_n	hco3
C01353	hco3_n	hco3
C00155	hcys__L_x	hcys__L
C05330	hcys__L_x	hcys__L
C00249	hdca_x	hdca
C05272	hdd2coa_x	hdd2coa
C15670	hemeA_m	hemeA
C15672	hemeO_m	hemeO
C01230	hexdp_m	hexdp
C07328	iamoh_c	iamoh
C14710	ibutoh_e	ibutoh
C00637	id3acald_c	id3acald
C00954	ind3ac_m	ind3ac
C00955	ind3eth_e	ind3eth
C00331	indpyr_c	indpyr
C00129	ipdp_m	ipdp
C00123	leu__L_m	leu__L
C16439	leu__L_m	leu__L
C00123	leu__L_v	leu__L
C16439	leu__L_v	leu__L
C00047	lys__L_m	lys__L
C16440	lys__L_m	lys__L
C00047	lys__L_v	lys__L
C16440	lys__L_v	lys__L
C01209	malACP_m	malACP
C00083	malcoa_m	malcoa
C02430	mettrna_m	mettrna
