ec_number	bigg_reaction_id
4.6.1.12	MECDPS
2.7.7.60	MEPCT
2.5.1.6	METAT
6.1.1.10	METTRS
3.6.3.2	MG2uabcpp
4.2.3.3	MGSA
3.4.17.13	MLDCP1Bpp
3.4.17.13	MLDCP3App
3.2.1.20	MLTG1
3.2.1.20	MLTG5
2.4.1.1	MLTP1
4.1.1.41	MMCD
4.1.1.9	MMCD
2.4.99.12	MOAT
2.1.2.11	MOHMT
1.1.5.4	MOX
1.1.1.-	MSAR
1.1.1.298	MSAR
3.2.2.16	MTAN
3.2.2.9	MTAN
1.5.1.20	MTHFR2
1.6.5.3	NADH16pp
1.6.5.3	NADH17pp
1.6.5.3	NADH18pp
2.7.1.23	NADK
1.6.1.1	NADTRHD
1.6.1.2	NADTRHD
1.6.1.3	NADTRHD
2.7.4.6	NDPK1
2.7.4.6	NDPK2
2.7.4.6	NDPK3
2.7.4.6	NDPK5
2.7.4.6	NDPK6
3.6.3.24	NI2uabcpp
3.5.1.42	NMNDA
3.2.2.14	NMNN
3.5.1.19	NNAM
2.7.7.1	NNATr
2.7.7.18	NNATr
3.1.3.5	NTD10
3.1.3.5	NTD10pp
3.1.3.5	NTD11pp
3.1.3.99	NTD11pp
3.1.3.5	NTD2
3.1.3.5	NTD4
3.1.3.91	NTD4
3.1.3.5	NTD4pp
3.1.3.91	NTD4pp
3.1.3.35	NTD5
3.1.3.5	NTD5
3.1.3.89	NTD5
3.1.3.5	NTD6
3.1.3.89	NTD6
3.1.3.5	NTD6pp
3.1.3.89	NTD6pp
3.1.3.5	NTD7
3.1.3.5	NTD7pp
3.1.3.5	NTD8
3.1.3.89	NTD8
3.1.3.5	NTD8pp
3.1.3.89	NTD8pp
3.1.3.5	NTD9
3.1.3.5	NTD9pp
3.6.1.15	NTP1
3.6.1.3	NTP1
3.6.1.5	NTP1
3.6.1.8	NTP1
3.6.3.1	NTP1
3.6.3.10	NTP1
3.6.3.11	NTP1
3.6.3.12	NTP1
3.6.3.14	NTP1
3.6.3.15	NTP1
3.6.3.16	NTP1
3.6.3.17	NTP1
3.6.3.18	NTP1
3.6.3.19	NTP1
3.6.3.2	NTP1
3.6.3.20	NTP1
3.6.3.21	NTP1
3.6.3.22	NTP1
3.6.3.23	NTP1
3.6.3.24	NTP1
3.6.3.25	NTP1
3.6.3.26	NTP1
3.6.3.27	NTP1
3.6.3.28	NTP1
3.6.3.29	NTP1
3.6.3.3	NTP1
3.6.3.30	NTP1
3.6.3.31	NTP1
3.6.3.32	NTP1
3.6.3.33	NTP1
3.6.3.34	NTP1
3.6.3.35	NTP1
3.6.3.36	NTP1
3.6.3.37	NTP1
3.6.3.38	NTP1
3.6.3.39	NTP1
3.6.3.4	NTP1
3.6.3.40	NTP1
3.6.3.41	NTP1
3.6.3.42	NTP1
3.6.3.43	NTP1
3.6.3.44	NTP1
3.6.3.46	NTP1
3.6.3.47	NTP1
3.6.3.48	NTP1
3.6.3.49	NTP1
3.6.3.5	NTP1
3.6.3.50	NTP1
3.6.3.51	NTP1
3.6.3.52	NTP1
3.6.3.53	NTP1
3.6.3.54	NTP1
3.6.3.6	NTP1
3.6.3.7	NTP1
3.6.3.8	NTP1
3.6.3.9	NTP1
3.6.4.1	NTP1
3.6.4.10	NTP1
3.6.4.11	NTP1
3.6.4.12	NTP1
3.6.4.13	NTP1
3.6.4.2	NTP1
3.6.4.3	NTP1
3.6.4.4	NTP1
3.6.4.5	NTP1
3.6.4.6	NTP1
3.6.4.7	NTP1
3.6.4.8	NTP1
3.6.4.9	NTP1
3.6.1	NTP10
3.6.1.5	NTP10
3.6.1.15	NTP3pp
3.6.1.5	NTP3pp
3.6.5.1	NTP3pp
3.6.5.2	NTP3pp
3.6.5.3	NTP3pp
3.6.5.4	NTP3pp
3.6.5.5	NTP3pp
3.6.5.6	NTP3pp
3.6.1.15	NTP5
3.6.1.5	NTP5
3.6.1.-	NTPP1
3.6.1.19	NTPP1
3.6.1.9	NTPP1
3.6.1.12	NTPP3
3.6.1.65	NTPP3
3.6.1.9	NTPP3
3.6.1.8	NTPP6
3.6.1.9	NTPP6
3.6.1.19	NTPP7
3.6.1.9	NTPP7
3.6.1.8	NTPP8
3.6.1.9	NTPP8
3.1.5.1	NTPTP1
1.7.1.15	NTRIR2x
1.7.1.4	NTRIR2x
2.3.1	OBTFL
2.3.1.54	OBTFL
2.5.1.90	OCTDPS
2.1.1.222	OHPHM
1.1.1.85	OMCDC
4.2.1.80	OP4ENH
4.1.1.98	OPHBDC
4.1.1.17	ORNDC
3.6.3.21	ORNabcpp
2.3.1.223	OXDHCOAT
1.2.1.88	P5CD
1.5.1.12	P5CD
1.5.1.2	P5CR
6.3.2.1	PANTS
3.1.3.4	PAPA160
1.8.4.8	PAPSR
3.1.4.17	PDE1
3.1.4.53	PDE1
3.1.4.17	PDE4
3.1.4.35	PDE4
2.7.1.11	PFK
5.4.2.10	PGAMT
1.1.1.95	PGCD
5.3.1.9	PGI
3.1.1.31	PGL
3.1.3.18	PGLYCP
3.1.3.27	PGPP120pp
3.1.3.27	PGPP160
3.1.3.27	PGPP161
3.1.3.27	PGPP161pp
3.1.3.27	PGPP180
2.7.8.5	PGSA160
2.7.8.5	PGSA181
