kegg_reaction_id	bigg_reaction_id
R00548	ACP1_FMN
R05551	AMID5
R00017	CCP
R00524	FORAMD
R04443	PHCHGS
R02853	PSP_D
R01526	RBK_Dr
R01859	PPCOAC
R00431	PEPCK_re
R03877	MPML
R00705	MMSAD3
R01186	MI4PP
R01187	MI3PP
R02786	UAAGLS2
R00272	OXGDC
R01558	OXACOAL
R00251	OPAH
R09249	DPPS
R04049	DGC3D
R05814	CPC8MM
R05813	CPC6MT
R00907	APATr
R06975	AICART2
R00521	FCOAH2
R02377	ALCD3ir
R05604	ABTDG
R01895	RBTDG
R02782	2INSD
R05659	2INSD
R00461	LYSAM
R01986	4ABUTD
R03067	DHPS2_1
R00304	G1PP
R07168	MTHFR2_1
R00103	NADDPe
R03119	13PPDH
R02856	ACTDa
R07396	ARAT
R07364	ARD_1
R05811	CPC5MT
R05218	CYRDAR2
R01183	INS2D
R03648	ASNTRS_1
R00747	PALDH
R03303	34DHPACDO
R05810	CODSCL4MT
R07772	CODSCL5DA
R05814	CODSCL8XI
R06531	LTHRK
R06530	THRPDC
R02426	CDPGLC46DH
R01734	DMBZIDS
R00352	ACITL
R01422	BCOALIG
R01300	BCOALIG2
R05588	BZSCT
R09081	CSPMDDC
R09079	CSPMDDH
R08587	FUTH
R09281	GHBDHy
R01181	IBTMr
R01411	MCSNAH
R00700	NAD_H2
R05594	OCHCCH
R05603	PHEPC
R05599	PICH
R00004	PPA_1pp
R10343	SUCOAACTr
R01384	UDPGLDC
R03031	VACOAI
R02678	ALDD20x
R00895	CYSTA
R00896	CYSTA
R01063	GAPDi_nadp
R01230	GMPS
R00494	GTHRDH_syn
R03082	LALDO
R06266	MPOMMM
R06267	MPOMOR
R03530	NDPK10
R02065	PHYTES
R01523	PRUK
R00572	PYK4
R00724	PYK5
R01845	SBP
R00859	SULR_syn
R07236	TOCOPHOM1
R07504	TOCOPHOM2
R07502	TOCOPHS1
R07503	TOCOPHS2
R02063	GGDPR
R00805	SPP
R06211	SPP
R07323	SQLC2
R02201	1PPDCRp
R08698	2AMACHYD
R01933	2OXOADOXm
R03158	3HPCOAHYD
R01608	3HPPD
R04907	3HXKYNOXDA
R01562	3NTD7l
R02532	41R2A1H12BOOX
R04300	42A12BOOX
R02908	5HOXINOXDA
R03102	AASAD3m
R01648	ABTArm
R00927	ACACT10m
R00238	ACACT1x
R08967	ACGALK
R03482	ACGPID
R01560	ADAe
R01366	ADCim
R01157	AGMTm
R08549	AKGDm
R00205	ALR
R00899	AMPTASECGe
R03758	AOBUTDsm
R00184	AP4AH1
R00551	ARGNm
R00085	ATPH1e
0124#2	ATPtm
R08744	BAAT4x
R01361	BDHm
R02565	BETALDHxm
R01492	CBLATm
R01023	CHAT
R01023	CHATn
R03513	CORE3GTg
R05909	CORE3GTg
R02396	CSNATer
R01113	CYSGLTH
R02408	CYSLYSL
R00893	CYSO
R00513	CYTDK1
R00513	CYTDK2m
R01878	CYTDn
R00512	CYTK1m
R00512	CYTK1n
R04785	DASCBH
R01666	DCK1m
R01666	DCK1n
R01905	DGULND
R01658	DMATTx
R00380	DNAMTn
R02535	DOPABMO
R04301	DOPAMT
R04224	ECOAH12m
R04204	ECOAH9m
R02302	FTCD
R00941	FTHFDH
R10520	G6PDH1er
R00303	G6PPer
R01095	GALOR
R01333	GCALDDm
