kegg_reaction_id	bigg_reaction_id
R08368	PUNP8
R02156	Q23DO
R03947	SHCHD2_1
R02925	SORD_D
R00858	SULR_1
R06180	TARTRDH
R02545	TARTRDH2
R00782	TRPAS1
R00418	UAG4E
R03194	UPP3MT_2
R04998	BDG2HCGHD
R02470	P4502C93
R03404	STS1
R03404	STS1r
R01481	GULND
R06197	ABO5g_cho
R05953	B3GALT44g_cho
R05964	B3GALT5g_cho
R04610	B3GALTg_cho
R06006	B3GALTg_cho
R05977	B3GNT310g_cho
R09755	B3GNT310g_cho
R06097	B3GNT315g_cho
R01802	CDIPTr_cho
R01495	CERK_cho
R02030	CLS_cho
R01665	CYTK2m
R04785	DASCBH_cho
R10235	DIDP
R00187	DNTP
R03036	DPCOAPPe
R11323	DTTPDPm
R00160	FADDPle
R06221	FUT97g_cho
R05109	GALGT3_cho
R05946	GALGT3_cho
R01498	GBA_cho
R03534	HGDm
R03378	HOLYSK
R01394	HPI
R06601	HURH
R07324	MI3PS
R10748	PAN4PPe
R00208	PGAM1_PhosHydro
R00689	PHEOX
R04513	PI345P3P_cho
R04513	PI345P3Pn_cho
R09827	PI345P5P_cho
R09827	PI345P5Pn_cho
R06875	PI34P3Pn_cho
R07299	PI34P4P
R10928	PI35P3P_cho
R05802	PI3P5K_cho
R03363	PI3PP_cho
R04545	PI45P3Kn_cho
R04404	PI45P5P_cho
R04404	PI45P5Pn_cho
R03469	PI4P5Kn_cho
R05803	PI5P4K_cho
R03361	PIK4_cho
R10951	PIK5_cho
R02973	PNTEHe
R03424	RE0066M
R03424	RE0066R
R07758	RE0580L
R07759	RE0581C
R07760	RE0582N
R02355	RE1587C
R02355	RE1587L
R02355	RE1587R
R04762	RE1630C
R03974	RE1835X
R07477	RE1897C
R07770	RE1944C
R09564	RE2513C
R09564	RE2513E
R09564	RE2513L
R09564	RE2513N
R05803	RE2972G
R05803	RE2972M
R05802	RE2974N
R03090	RE3013C
R07122	RE3259C
R07122	RE3259R
R05718	RE3409C
R05058	RE3421M
R05058	RE3421R
R01320	RE3511M
R04609	RE3519C
R07036	RE3519C
R04609	RE3519R
R07036	RE3519R
R04609	RE3519X
R07036	RE3519X
R04565	RE3556C
R05057	RE3567C
R05954	ST6GALNAC27_cho
R05955	ST6GALNAC28_cho
R05951	ST6GALNAC62_cho
R05958	ST8SIA54g_cho
R00407	SUCCOAPET
R00729	TYROX
R01497	UGCGc
R06275	UGCGc
R02106	URAOX
R02107	XAO
R00004	r0009
R00183	r0047
R00190	r0051
R00268	r0084
R00287	r0093
R00316	r0097
R00414	r0113
R00428	r0120
R00533	r0142
R00569	r0149
R00576	r0156
R00576	r0157
R00714	r0179
R00748	r0186
R00842	r0202
R01010	r0242
R01041	r0246
R01138	r0280
R01151	r0281
R01280	r0311
R01357	r0321
R01414	r0330
R01514	r0340
R01139	r0355
R01327	r0360
R01330	r0361
R01964	r0363
R01965	r0364
R01608	r0365
R01855	r0410
R01899	r0422
R02037	r0480
R02092	r0494
R02095	r0497
R02235	r0512
R02236	r0514
R02536	r0546
R02743	r0568
R02971	r0579
R01104	r0627
R04285	r0673
R04639	r0708
R06869	r0789
0124#2	r0860
