bigg_reaction_id	stoichiometry	product_bigg_id
ACMAMUT	1	udp_c
ACMAMUT	1	unagamu_c
ACMANAtex	1	acmana_p
ACMUMtex	1	acmum_p
ACNAMt2pp	1	acnam_c
ACNAMt2pp	1	h_c
ACNML	1	acmana_c
ACNML	1	pyr_c
ACOAD1f	1	b2coa_c
ACOAD1f	1	fadh2_c
ACOAD5f	1	dd2coa_c
ACOAD5f	1	fadh2_c
ACOAD7f	1	fadh2_c
ACOAD7f	1	hdd2coa_c
ACOAD8f	1	fadh2_c
ACOAD8f	1	od2coa_c
ACOATA	1	acACP_c
ACOATA	1	coa_c
ACODA	1	ac_c
ACODA	1	orn_c
ACOLIPAabctex	1	adp_c
ACOLIPAabctex	1	h_c
ACOLIPAabctex	1	pi_c
ACOLIPAabctex	1	acolipa_e
ACONIs	1	acon_C_c
ACONMT	1	aconm_c
ACONMT	1	ahcys_c
ACOTA	1	acg5sa_c
ACOTA	1	glu__L_c
ACPPAT141	1	ACP_c
ACPPAT141	1	ttdceap_c
ACPPAT161	1	ACP_c
ACPPAT161	1	hdceap_c
ACPPAT180	1	ACP_c
ACPPAT180	1	ocdcap_c
ACSERtpp	1	acser_p
ACt2rpp	1	ac_c
ACt2rpp	1	h_c
ACtex	1	ac_p
ADCL	1	4abz_c
ADCL	1	h_c
ADCL	1	pyr_c
ADCS	1	4adcho_c
ADCS	1	glu__L_c
ADD	1	hxan_c
ADD	1	nh4_c
ADEt2rpp	1	ade_c
ADEt2rpp	1	h_c
ADEtex	1	ade_p
ADK3	1	adp_c
ADK3	1	gdp_c
ADNCYC	1	camp_c
ADNCYC	1	ppi_c
ADNK1	1	adp_c
ADNK1	1	amp_c
ADNK1	1	h_c
ADNUC	1	ade_c
ADNUC	1	rib__D_c
ADNt2pp	1	adn_c
ADNt2pp	1	h_c
ADOCBLS	1	adocbl_c
ADOCBLS	1	gmp_c
ADOCBLS	1	h_c
ADOCBLabcpp	1	adocbl_c
ADOCBLabcpp	1	adp_c
ADOCBLabcpp	1	h_c
ADOCBLabcpp	1	pi_c
ADOCBLtonex	1	h_c
ADOCBLtonex	1	adocbl_p
ADPT	1	amp_c
ADPT	1	ppi_c
ADSK	1	adp_c
ADSK	1	h_c
ADSK	1	paps_c
ADSS	1	dcamp_c
ADSS	1	gdp_c
ADSS	2.0	h_c
ADSS	1	pi_c
AGM3PA	1	LalaDgluMdap_c
AGM3PA	1	anhgm_c
AGM3PH	1	acgam_c
AGM3PH	1	anhm3p_c
AGM4PCP	1	ala__D_c
AGM4PCP	1	anhgm3p_c
AGM4PCPpp	1	ala__D_p
AGM4PCPpp	1	anhgm3p_p
AGMT	1	ptrc_c
AGMT	1	urea_c
AGMt2pp	1	anhgm_c
AGMt2pp	1	h_c
AGMtex	1	agm_p
AGPAT161	1	ACP_c
AGPAT161	1	pa161_c
AGPAT180	1	ACP_c
AGPAT180	1	pa180_c
AGt3	1	h_c
AGt3	1	ag_e
AIRC2	1	5caiz_c
AIRC2	1	adp_c
AIRC2	1	h_c
AIRC2	1	pi_c
ALAALAr	1	adp_c
ALAALAr	1	alaala_c
ALAALAr	1	h_c
ALAALAr	1	pi_c
ALAALAtex	1	alaala_p
ALATA_D2	1	pyam5p_c
ALATA_D2	1	pyr_c
ALATA_L	1	glu__L_c
ALATA_L	1	pyr_c
ALATA_L2	1	pyam5p_c
ALATA_L2	1	pyr_c
ALATRS	1	alatrna_c
ALATRS	1	amp_c
ALATRS	1	ppi_c
ALAt2pp	1	ala__L_c
ALAt2pp	1	h_c
ALCD2x	1	acald_c
ALCD2x	1	h_c
ALCD2x	1	nadh_c
ALLK	1	adp_c
ALLK	1	all6p_c
ALLK	1	h_c
ALLTAMH	1	co2_c
ALLTAMH	2.0	nh4_c
ALLTAMH	1	urdglyc_c
ALLTNtex	1	alltn_p
ALPATE160pp	1	2agpe160_p
ALPATE160pp	1	lpp_p
ALR4x	1	12ppd__R_c
ALR4x	1	nad_c
ALTRH	1	2ddglcn_c
ALTRH	1	h2o_c
AM4PA	1	LalaDgluMdapDala_c
AM4PA	1	anhm_c
AM4PCP	1	ala__D_c
AM4PCP	1	anhm3p_c
AMALT3	1	glc__D_c
AMALT3	1	malthx_c
AMANAPEr	1	acgam6p_c
AMANK	1	acmanap_c
AMANK	1	adp_c
AMANK	1	h_c
AMAOTr	1	amob_c
AMAOTr	1	dann_c
AMPMS2	1	4ampm_c
AMPMS2	2.0	for_c
