bigg_reaction_id	stoichiometry	substrate_bigg_id
2AGPE141tipp	1	2agpe141_p
2AGPEAT141	1	2agpe141_c
2AGPEAT141	1	atp_c
2AGPEAT141	1	ttdcea_c
2AGPG160tipp	1	2agpg160_p
2AGPG161tipp	1	2agpg161_p
2AGPG180tipp	1	2agpg180_p
2AGPG181tipp	1	2agpg181_p
2AGPGAT120	1	2agpg120_c
2AGPGAT120	1	atp_c
2AGPGAT120	1	ddca_c
2AGPGAT141	1	2agpg141_c
2AGPGAT141	1	atp_c
2AGPGAT141	1	ttdcea_c
2AGPGAT160	1	2agpg160_c
2AGPGAT160	1	atp_c
2AGPGAT160	1	hdca_c
2AGPGAT180	1	2agpg180_c
2AGPGAT180	1	atp_c
2AGPGAT180	1	ocdca_c
2DGULRGx	1	2dhguln_c
2DGULRGx	1	h_c
2DGULRGx	1	nadh_c
2DGULRx	1	2dhguln_c
2DGULRx	1	h_c
2DGULRx	1	nadh_c
2MAHMP	1	2mahmp_c
2MAHMP	1	h2o_c
3AMPtex	1	3amp_e
3GMPtex	1	3gmp_e
3HAD121	1	3hcddec5eACP_c
3HAD160	1	3hpalmACP_c
3HAD161	1	3hcpalm9eACP_c
3HAD180	1	3hoctaACP_c
3HAD80	1	3hoctACP_c
3HPPtex	1	3hpp_e
3HPPtpp	1	3hpp_c
3HPPtpp	1	h_c
3KGK	1	3dhguln_c
3KGK	1	atp_c
3NTD2pp	1	3ump_p
3NTD2pp	1	h2o_p
3NTD9pp	1	3gmp_p
3NTD9pp	1	h2o_p
3OAR120	1	3oddecACP_c
3OAR120	1	h_c
3OAR120	1	nadph_c
3OAR121	1	3ocddec5eACP_c
3OAR121	1	h_c
3OAR121	1	nadph_c
3OAR141	1	3ocmrs7eACP_c
3OAR141	1	h_c
3OAR141	1	nadph_c
3OAR160	1	3opalmACP_c
3OAR160	1	h_c
3OAR160	1	nadph_c
3OAR161	1	3ocpalm9eACP_c
3OAR161	1	h_c
3OAR161	1	nadph_c
3OAR180	1	3ooctdACP_c
3OAR180	1	h_c
3OAR180	1	nadph_c
3OAS100	1	h_c
3OAS100	1	malACP_c
3OAS100	1	ocACP_c
3OAS120	1	dcaACP_c
3OAS120	1	h_c
3OAS120	1	malACP_c
3OAS140	1	ddcaACP_c
3OAS140	1	h_c
3OAS140	1	malACP_c
3OAS161	1	h_c
3OAS161	1	malACP_c
3OAS161	1	tdeACP_c
3OAS60	1	butACP_c
3OAS60	1	h_c
3OAS60	1	malACP_c
3PEPTabcpp	1	atp_c
3PEPTabcpp	1	h2o_c
3PEPTabcpp	1	LalaDgluMdap_p
3UMPtex	1	3ump_e
4HTHRS	1	h2o_c
4HTHRS	1	phthr_c
5DGLCNt2rpp	1	5dglcn_p
5DGLCNt2rpp	1	h_p
5DOAN	1	dad_5_c
5DOAN	1	h2o_c
5MTRtex	1	5mtr_e
5MTRtpp	1	5mtr_c
5MTRtpp	1	h_c
A5PISO	1	ru5p__D_c
AACPS5	1	ACP_c
AACPS5	1	atp_c
AACPS5	1	ocdcea_c
AACPS6	1	ACP_c
AACPS6	1	atp_c
AACPS6	1	ocdca_c
AACPS9	1	ACP_c
AACPS9	1	atp_c
AACPS9	1	octa_c
AAMYLpp	1	14glucan_p
ABTA	1	4abut_c
ABTA	1	akg_c
ABUTt2pp	1	4abut_p
ABUTt2pp	1	h_p
ACACT2r	1	accoa_c
ACACT2r	1	btcoa_c
ACACT3r	1	accoa_c
ACACT3r	1	hxcoa_c
ACACT4r	1	accoa_c
ACACT4r	1	occoa_c
ACACT5r	1	accoa_c
ACACT5r	1	dcacoa_c
ACACtex	1	acac_e
ACALDtex	1	acald_e
ACALDtpp	1	acald_p
ACBIPGT	1	adocbip_c
ACBIPGT	1	gtp_c
ACBIPGT	1	h_c
ACCOAL	1	atp_c
ACCOAL	1	coa_c
ACCOAL	1	ppa_c
ACGAM1PPpp	1	acgam1p_p
ACGAM1PPpp	1	h2o_p
ACGAptspp	1	pep_c
ACGAptspp	1	acgam_p
ACGAtex	1	acgam_e
ACGS	1	accoa_c
ACGS	1	glu__L_c
ACLS	1	h_c
ACLS	2.0	pyr_c
ACMAMUT	1	uacmamu_c
ACMAMUT	1	unaga_c
ACMANAtex	1	acmana_e
ACMUMtex	1	acmum_e
ACNAMt2pp	1	acnam_p
ACNAMt2pp	1	h_p
ACNML	1	acnam_c
ACOAD1f	1	btcoa_c
ACOAD1f	1	fad_c
ACOAD5f	1	ddcacoa_c
ACOAD5f	1	fad_c
ACOAD7f	1	fad_c
ACOAD7f	1	pmtcoa_c
ACOAD8f	1	fad_c
ACOAD8f	1	stcoa_c
ACOATA	1	ACP_c
ACOATA	1	accoa_c
ACODA	1	acorn_c
ACODA	1	h2o_c
ACOLIPAabctex	1	atp_c
ACOLIPAabctex	1	h2o_c
ACOLIPAabctex	1	acolipa_p
ACONIs	1	acon_T_c
ACONMT	1	acon_T_c
ACONMT	1	amet_c
ACOTA	1	acorn_c
ACOTA	1	akg_c
ACPPAT141	1	h_c
ACPPAT141	1	pi_c
ACPPAT141	1	tdeACP_c
ACPPAT161	1	h_c
ACPPAT161	1	hdeACP_c
ACPPAT161	1	pi_c
ACPPAT180	1	h_c
ACPPAT180	1	ocdcaACP_c
ACPPAT180	1	pi_c
ACSERtpp	1	acser_c
ACt2rpp	1	ac_p
ACt2rpp	1	h_p
ACtex	1	ac_e
ADCL	1	4adcho_c
ADCS	1	chor_c
ADCS	1	gln__L_c
ADD	1	ade_c
ADD	1	h_c
ADD	1	h2o_c
ADEt2rpp	1	ade_p
ADEt2rpp	1	h_p
ADEtex	1	ade_e
ADK3	1	amp_c
ADK3	1	gtp_c
ADNCYC	1	atp_c
ADNK1	1	adn_c
ADNK1	1	atp_c
ADNUC	1	adn_c
ADNUC	1	h2o_c
ADNt2pp	1	adn_p
ADNt2pp	1	h_p
ADOCBLS	1	agdpcbi_c
ADOCBLS	1	rdmbzi_c
ADOCBLabcpp	1	atp_c
ADOCBLabcpp	1	h2o_c
ADOCBLabcpp	1	adocbl_p
ADOCBLtonex	1	adocbl_e
ADOCBLtonex	1	h_p
ADPT	1	ade_c
ADPT	1	prpp_c
ADSK	1	aps_c
ADSK	1	atp_c
ADSS	1	asp__L_c
ADSS	1	gtp_c
ADSS	1	imp_c
AGM3PA	1	anhgm3p_c
AGM3PA	1	h2o_c
AGM3PH	1	anhgm3p_c
AGM3PH	1	h2o_c
AGM4PCP	1	anhgm4p_c
AGM4PCP	1	h2o_c
AGM4PCPpp	1	anhgm4p_p
AGM4PCPpp	1	h2o_p
AGMT	1	agm_c
AGMT	1	h2o_c
AGMt2pp	1	anhgm_p
AGMt2pp	1	h_p
AGMtex	1	agm_e
AGPAT161	1	1hdec9eg3p_c
AGPAT161	1	hdeACP_c
AGPAT180	1	1odecg3p_c
AGPAT180	1	ocdcaACP_c
AGt3	1	ag_c
AGt3	1	h_e
AIRC2	1	air_c
AIRC2	1	atp_c
AIRC2	1	hco3_c
ALAALAr	2.0	ala__D_c
ALAALAr	1	atp_c
ALAALAtex	1	alaala_e
ALATA_D2	1	ala__D_c
ALATA_D2	1	pydx5p_c
ALATA_L	1	akg_c
ALATA_L	1	ala__L_c
ALATA_L2	1	ala__L_c
ALATA_L2	1	pydx5p_c
ALATRS	1	ala__L_c
ALATRS	1	atp_c
ALATRS	1	trnaala_c
ALAt2pp	1	ala__L_p
ALAt2pp	1	h_p
ALCD2x	1	etoh_c
ALCD2x	1	nad_c
ALLK	1	all__D_c
ALLK	1	atp_c
ALLTAMH	1	alltt_c
ALLTAMH	2.0	h_c
ALLTAMH	2.0	h2o_c
ALLTNtex	1	alltn_e
ALPATE160pp	1	alpp_p
ALPATE160pp	1	pe160_p
ALR4x	1	acetol_c
ALR4x	1	h_c
ALR4x	1	nadh_c
ALTRH	1	altrn_c
AM4PA	1	anhm4p_c
AM4PA	1	h2o_c
AM4PCP	1	anhm4p_c
AM4PCP	1	h2o_c
AMALT3	1	malt_c
AMALT3	1	maltpt_c
AMANAPEr	1	acmanap_c
AMANK	1	acmana_c
AMANK	1	atp_c
AMAOTr	1	8aonn_c
AMAOTr	1	amet_c
AMPMS2	1	air_c
AMPMS2	1	h2o_c
AMPMS2	1	nad_c
AMPN	1	amp_c
AMPN	1	h2o_c
AMPtex	1	amp_e
ANHGMtex	1	anhgm_e
ANPRT	1	anth_c
ANPRT	1	prpp_c
AP4AS	2.0	atp_c
AP4AS	1	h_c
AP5AH	1	ap5a_c
AP5AH	1	h2o_c
APG3PAT140	1	glyc3p_c
APG3PAT140	1	ttdcap_c
APG3PAT141	1	glyc3p_c
APG3PAT141	1	ttdceap_c
APG3PAT161	1	glyc3p_c
APG3PAT161	1	hdceap_c
APH140	1	h2o_c
APH140	1	ttdcap_c
APH141	1	h2o_c
APH141	1	ttdceap_c
APH160	1	h2o_c
APH160	1	hdcap_c
APH161	1	h2o_c
APH161	1	hdceap_c
ARAI	1	arab__L_c
ARBTNR1	2.0	arbtn_fe3_c
ARBTNR1	1	fadh2_c
ARBTNexs	1	arbtn_e
ARBTNexs	1	fe3_e
ARBTNtpp	1	arbtn_c
ARBTNtpp	1	h_p
ARBabcpp	1	atp_c
ARBabcpp	1	h2o_c
ARBabcpp	1	arab__L_p
ARBtex	1	arab__L_e
