bigg_id	universal_bigg_id	name
metsox_S__L_c	metsox_S__L	L-Methionine Sulfoxide
micit_c	micit	Methylisocitrate
moadcosh_c	moadcosh	MoaD Protein with thiocarboxylate
mpt_c	mpt	Molybdopterin
msa_c	msa	Malonate semialdehyde
myrsACP_c	myrsACP	Myristoyl-ACP (n-C14:0ACP)
nad_c	nad	Nicotinamide adenine dinucleotide
ni2_c	ni2	Nickel
nicrnt_c	nicrnt	Nicotinate D-ribonucleotide
o16aund_c	o16aund	O16 antigen undecaprenyl diphosphate
oaa_c	oaa	Oxaloacetate
ocdcap_c	ocdcap	Octadecanoyl-phosphate (n-C18:0)
ocdcea_c	ocdcea	Octadecenoate (n-C18:1)
odecoa_c	odecoa	Octadecenoyl-CoA (n-C18:1CoA)
opmeACP_c	opmeACP	3-Oxo-pimeloyl-[acyl-carrier protein] methyl ester
pant__R_c	pant__R	(R)-Pantoate
pe120_c	pe120	Phosphatidylethanolamine (didodecanoyl, n-C12:0)
pe160_c	pe160	Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)
pg120_c	pg120	Phosphatidylglycerol (didodecanoyl, n-C12:0)
pg141_c	pg141	Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)
pg161_c	pg161	Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)
pgp140_c	pgp140	Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)
phe__L_c	phe__L	L-Phenylalanine
ppap_c	ppap	Propanoyl phosphate
ppbng_c	ppbng	Porphobilinogen
ppp9_c	ppp9	Protoporphyrin
pppg9_c	pppg9	Protoporphyrinogen IX
preq0_c	preq0	7-cyano-7-carbaguanine
preq1_c	preq1	7-aminomethyl-7-deazaguanine
prlp_c	prlp	5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide
progly_c	progly	L-Prolinylglycine
prpp_c	prpp	5-Phospho-alpha-D-ribose 1-diphosphate
psclys_c	psclys	Psicoselysine
pser__L_c	pser__L	O-Phospho-L-serine
pydx_c	pydx	Pyridoxal
pydx5p_c	pydx5p	Pyridoxal 5'-phosphate
q8h2_c	q8h2	Ubiquinol-8
quln_c	quln	Quinolinate
r15bp_c	r15bp	D-Ribose 1,5-bisphosphate
r1p_c	r1p	Alpha-D-Ribose 1-phosphate
r5p_c	r5p	Alpha-D-Ribose 5-phosphate
rdmbzi_c	rdmbzi	N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole
rib__D_c	rib__D	D-Ribose
ribflv_c	ribflv	Riboflavin C17H20N4O6
rml_c	rml	L-Rhamnulose
rml1p_c	rml1p	L-Rhamnulose 1-phosphate
s7p_c	s7p	Sedoheptulose 7-phosphate
sbt6p_c	sbt6p	D-Sorbitol 6-phosphate
sel_c	sel	Selenate
selnp_c	selnp	Selenophosphate
ser__D_c	ser__D	D-Serine
suc6p_c	suc6p	Sucrose 6-phosphate
succ_c	succ	Succinate
sucorn_c	sucorn	N2-Succinyl-L-ornithine
sufbcd_c	sufbcd	SufBCD scaffold complex
sufsesh_c	sufsesh	SufSE with bound sulfur
tagdp__D_c	tagdp__D	D-Tagatose 1,6-biphosphate
tartr__D_c	tartr__D	D-tartrate
tdeACP_c	tdeACP	Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)
thr__L_c	thr__L	L-Threonine
thrtrna_c	thrtrna	L-Threonyl-tRNA(Thr)
thymd_c	thymd	Thymidine C10H14N2O5
tma_c	tma	Trimethylamine
tmao_c	tmao	Trimethylamine N-oxide
toct2eACP_c	toct2eACP	Trans-Oct-2-enoyl-[acyl-carrier protein]
trnaarg_c	trnaarg	TRNA(Arg)
trnaglu_c	trnaglu	TRNA (Glu)
trnahis_c	trnahis	TRNA(His)
trnaser_c	trnaser	TRNA(Ser)
trnatrp_c	trnatrp	TRNA(Trp)
ttdcea_c	ttdcea	Tetradecenoate (n-C14:1)
u3aga_c	u3aga	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine
u3hga_c	u3hga	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
uacmamu_c	uacmamu	UDP-N-acetyl-D-mannosaminouronate
uama_c	uama	UDP-N-acetylmuramoyl-L-alanine
uamag_c	uamag	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
uamr_c	uamr	UDP-N-acetylmuramate
udcpdp_c	udcpdp	Undecaprenyl diphosphate
udpLa4fn_c	udpLa4fn	Uridine 5''-diphospho-{beta}-4-deoxy-4-formamido-L-arabinose
ugmda_c	ugmda	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine
ump_c	ump	UMP C9H11N2O9P
ura_c	ura	Uracil
uracp_c	uracp	Ureidoacrylate peracid
urea_c	urea	Urea CH4N2O
wco_c	wco	Tungsten binding cofactor
xan_c	xan	Xanthine
xtp_c	xtp	XTP
xylu__L_c	xylu__L	L-Xylulose
zn2_c	zn2	Zinc
12ppd__S_e	12ppd__S	(S)-Propane-1,2-diol
26dap__M_e	26dap__M	Meso-2,6-Diaminoheptanedioate
3hpp_e	3hpp	3-Hydroxypropanoate
LalaDglu_e	LalaDglu	L-alanine-D-glutamate
LalaDgluMdapDala_e	LalaDgluMdapDala	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine
acgam_e	acgam	N-Acetyl-D-glucosamine
acgam1p_e	acgam1p	N-Acetyl-D-glucosamine 1-phosphate
acnam_e	acnam	N-Acetylneuraminate
acolipa_e	acolipa	4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A
agm_e	agm	Agmatine
all__D_e	all__D	D-Allose
amp_e	amp	AMP C10H12N5O7P
arbtn_e	arbtn	Aerobactin minus Fe3
asp__L_e	asp__L	L-Aspartate
but_e	but	Butyrate (n-C4:0)
cbi_e	cbi	Cobinamide
cd2_e	cd2	Cadmium
cl_e	cl	Chloride
cm_e	cm	Chloramphenicol
cmp_e	cmp	CMP C9H12N3O8P
crn__D_e	crn__D	D-Carnitine
csn_e	csn	Cytosine
cu2_e	cu2	Copper
cys__D_e	cys__D	D-Cysteine
dcyt_e	dcyt	Deoxycytidine
dgmp_e	dgmp	DGMP C10H12N5O7P
dtmp_e	dtmp	DTMP C10H13N2O8P
duri_e	duri	Deoxyuridine
eca4colipa_e	eca4colipa	(enterobacterial common antigen)x4 core oligosaccharide lipid A
enter_e	enter	Enterochelin
etoh_e	etoh	Ethanol
fald_e	fald	Formaldehyde
fe3_e	fe3	Iron (Fe3+)
fe3hox_e	fe3hox	Fe(III)hydroxamate
fru_e	fru	D-Fructose
frulys_e	frulys	Fructoselysine
g1p_e	g1p	D-Glucose 1-phosphate
g3ps_e	g3ps	Glycerophosphoserine
galt_e	galt	Galactitol
galur_e	galur	D-Galacturonate
gam_e	gam	D-Glucosamine
gbbtn_e	gbbtn	Gamma-butyrobetaine
gdp_e	gdp	GDP C10H12N5O11P2
glc__D_e	glc__D	D-Glucose
glcr_e	glcr	D-Glucarate
glcur_e	glcur	D-Glucuronate
gln__L_e	gln__L	L-Glutamine
glu__L_e	glu__L	L-Glutamate
glyald_e	glyald	D-Glyceraldehyde
