ReactionID	StochCoeff	Substrates	other site
R08940	1	C00173	
R08940	1	C00019	
R03217	1	C00097	
R03217	1	C01077	
R11413	1	C00019	
R11413	1	C21343	
R07814	1	C00001	
R07814	1	G13036	
R12198	1	C00001	
R12198	1	C21982	
R04681	1	C05141	
R04681	1	C00003	
R10933	1	C00001	
R10933	1	C20951	
R03467	2	C00001	
R03467	1	C03692	
R05861	1	C00133	
R05861	1	C00001	
R05861	1	C00007	
R06727	1	C00180	
R06727	1	C06178	
R02201	1	C00408	
R02201	1	C00003	
R06236	1	C04261	
R06236	1	G00275	
R08935	1	C03319	
R08935	1	C00006	
R10415	1	C17367	
R10415	1	C00007	
R10415	1	C00026	
R00139	1	C00002	
R00139	1	C11038	
R00637	1	C00007	
R00637	1	C00226	
R05365	1	C00001	
R05365	1	C08062	
R01969	1	C00330	
R01969	1	C00009	
R02052	1	C00001	
R02052	1	C00350	
R06052	1	G00370	
R06052	1	G10495	(n)
R01155	1	C00134	
R01155	1	C00026	
R01160	1	C00024	
R01160	1	C00135	
R08349	1	C00001	
R08349	1	C00007	
R08349	1	C16612	
R11411	1	C21374	
R08806	1	C00083	
R08806	1	C00406	
R09507	1	C01371	
R09507	1	C00027	
R12357	1	C00080	
R12357	1	C00007	
R12357	1	C22103	
R12357	1	C00004	
R06365	1	C04767	
R06365	1	C06592	
R09698	1	C01086	
R07766	1	C16240	
R07766	1	C05752	
R00342	1	C00149	
R00342	1	C00003	
R02682	1	C00001	
R02682	1	C04202	
R02712	1	C00001	
R02712	1	C01109	
R02420	1	C00017	
R02420	1	C00498	
R06428	1	C11907	
R02241	1	C00010	
R02241	1	C00416	
R06963	1	C05432	
R07006	1	C14793	
R02868	1	C00794	
R02868	1	C00131	
R02942	1	C00001	
R02942	1	C01405	
R09238	1	C18318	
R09238	1	C00001	
R03617	1	C00001	
R03617	1	C02686	
R07097	1	C00001	
R07097	1	C14865	
R09628	1	C00001	
R09628	1	C00448	
R08836	1	C00007	
R08836	1	C00355	
R10994	1	C00002	
R10994	1	C21015	
R10994	1	C00037	
R08241	1	C04646	
R08241	1	C00002	
R03267	1	C00029	
R03267	1	C01495	
R03681	1	C01702	
R03681	1	C00029	
R00070	2	C05791	
R00070	1	C00007	
R11920	1	C00353	
R01777	1	C00263	
R01777	1	C00091	
R10211	1	C00001	
R10211	1	C03724	
R09674	2	C00001	
R09674	1	C19241	
R03954	1	C00001	
R03954	1	C02470	
R11695	1	C21599	
R00504	1	C00043	
R00504	1	C00052	
R01406	1	C00002	
R01406	1	C00638	
R01406	1	C00229	
